variable,importance
alcohol,39.87292103515495
volatile_acidity,29.16425264930571
sulphates,28.52243857286963
density,23.32977791615099
citric_acid,21.418384461089286
chlorides,19.177150195891766
total_sulfur_dioxide,17.492839723721442
fixed_acidity,17.1689429671594
ph,13.345289902564517
residual_sugar,13.27531490076665
free_sulfur_dioxide,12.506276246754402
